"ZipCode","MedianIncome"
"00601","10833"
"00602","16353"
"00603","16323"
"00606","14138"
"00610","17265"
"00612","17752"
"00616","15115"
"00617","15461"
"00622","14993"
"00623","17044"
"00624","15467"
"00627","19490"
"00631","9613"
"00637","14977"
"00638","12588"
"00641","15542"
"00646","27924"
"00647","13668"
"00650","15090"
"00652","14903"
"00653","13596"
"00656","15440"
"00659","19130"
"00660","21323"
"00662","16050"
"00664","15976"
"00667","13527"
"00669","11967"
"00670","14989"
"00674","18796"
"00676","15277"
"00677","16737"
"00678","14824"
"00680","15173"
"00682","15868"
"00683","15030"
"00685","14686"
"00687","16086"
"00688","14135"
"00690","19688"
"00692","18003"
"00693","16709"
"00694","11250"
"00698","15414"
"00703","14968"
"00704","12341"
"00705","16744"
"00707","17866"
"00714","15901"
"00715","13534"
"00716","18609"
"00717","11692"
"00718","18247"
"00719","17592"
"00720","14578"
"00723","14343"
"00725","20704"
"00727","29304"
"00728","17689"
"00729","21243"
"00730","15459"
"00731","15894"
"00735","20450"
"00736","21023"
"00738","20917"
"00739","23629"
"00740","13077"
"00741","19237"
"00745","22694"
"00751","14236"
"00754","17192"
"00757","16344"
"00765","18297"
"00766","17210"
"00767","16664"
"00769","18053"
"00771","19869"
"00772","16118"
"00773","18256"
"00775","18167"
"00777","19398"
"00778","27872"
"00780","22197"
"00782","13472"
"00783","16860"
"00784","17048"
"00786","21167"
"00791","20357"
"00794","14998"
"00795","18890"
"00901","17256"
"00906","33056"
"00907","30994"
"00909","16309"
"00911","28132"
"00912","19781"
"00913","6809"
"00915","13773"
"00917","15458"
"00918","24712"
"00920","26157"
"00921","19263"
"00923","15633"
"00924","19142"
"00925","11794"
"00926","35140"
"00927","33758"
"00934","83264"
"00936","-"
"00949","24961"
"00950","-"
"00951","-"
"00952","18499"
"00953","29406"
"00956","23125"
"00957","23643"
"00959","26754"
"00960","-"
"00961","29169"
"00962","16289"
"00965","16135"
"00966","53052"
"00968","42036"
"00969","51285"
"00971","23338"
"00976","29736"
"00979","38187"
"00982","26370"
"00983","27834"
"00985","24514"
"00987","31599"
"01001","60775"
"01002","55082"
"01003","-"
"01005","68361"
"01007","74221"
"01008","71979"
"01009","40929"
"01010","82365"
"01011","65324"
"01012","56146"
"01013","41342"
"01020","52236"
"01022","60353"
"01026","51213"
"01027","58551"
"01028","84173"
"01029","52566"
"01030","68326"
"01031","43583"
"01032","65000"
"01033","79647"
"01034","77448"
"01035","74737"
"01036","79639"
"01037","91471"
"01038","65536"
"01039","68500"
"01040","35550"
"01050","52813"
"01053","59850"
"01054","78125"
"01056","61410"
"01057","66343"
"01060","53427"
"01062","64727"
"01063","-"
"01066","-"
"01068","80577"
"01069","54412"
"01070","57031"
"01071","74688"
"01072","68203"
"01073","68693"
"01074","58140"
"01075","62408"
"01077","81967"
"01079","43654"
"01080","42794"
"01081","52768"
"01082","52709"
"01083","37126"
"01084","49886"
"01085","61211"
"01086","-"
"01088","41875"
"01089","52806"
"01092","48679"
"01093","82222"
"01094","19028"
"01095","86908"
"01096","70438"
"01097","40556"
"01098","71500"
"01103","13666"
"01104","29184"
"01105","17657"
"01106","106296"
"01107","22287"
"01108","35238"
"01109","32644"
"01118","65231"
"01119","47417"
"01128","74963"
"01129","62280"
"01151","34280"
"01199","-"
"01201","44120"
"01220","41950"
"01222","78080"
"01223","65033"
"01224","37112"
"01225","58007"
"01226","48320"
"01229","34250"
"01230","53180"
"01235","64507"
"01236","62917"
"01237","76346"
"01238","61492"
"01240","51396"
"01242","55333"
"01243","73750"
"01244","27639"
"01245","53833"
"01247","39636"
"01253","66250"
"01254","83750"
"01255","56250"
"01256","57222"
"01257","46917"
"01258","64250"
"01259","61500"
"01260","47250"
"01262","47250"
"01264","90625"
"01266","78333"
"01267","74167"
"01270","69444"
"01301","48612"
"01330","77411"
"01331","51002"
"01337","62037"
"01338","71691"
"01339","51908"
"01340","46210"
"01341","79286"
"01342","101863"
"01343","81667"
"01344","59722"
"01346","58906"
"01347","38000"
"01349","54727"
"01350","32083"
"01351","71587"
"01354","75776"
"01355","75000"
"01360","60721"
"01364","41994"
"01366","72917"
"01367","49792"
"01368","60568"
"01370","53300"
"01373","67465"
"01375","50417"
"01376","41250"
"01378","55278"
"01379","38750"
"01420","46628"
"01430","85662"
"01431","83917"
"01432","66630"
"01434","97222"
"01436","70313"
"01438","61803"
"01440","46464"
"01450","116686"
"01451","135357"
"01452","83438"
"01453","59248"
"01460","111652"
"01462","71055"
"01463","77767"
"01464","66453"
"01467","184107"
"01468","70455"
"01469","81024"
"01473","87273"
"01474","95587"
"01475","59332"
"01501","73105"
"01503","88681"
"01504","72699"
"01505","102422"
"01506","63889"
"01507","91287"
"01510","64867"
"01515","71020"
"01516","84390"
"01518","48676"
"01519","101205"
"01520","98979"
"01521","64868"
"01522","94531"
"01523","89808"
"01524","65225"
"01525","47238"
"01527","71676"
"01529","88281"
"01531","81136"
"01532","107111"
"01534","82950"
"01535","58438"
"01536","72292"
"01537","75183"
"01540","67126"
"01541","114688"
"01542","76979"
"01543","91033"
"01545","97617"
"01550","42376"
"01560","78250"
"01561","19597"
"01562","60943"
"01564","90455"
"01566","93776"
"01568","110781"
"01569","88125"
"01570","48650"
"01571","68053"
"01581","100552"
"01583","73474"
"01585","60521"
"01588","66591"
"01590","111788"
"01602","62888"
"01603","46367"
"01604","47865"
"01605","36497"
"01606","66411"
"01607","42397"
"01608","21412"
"01609","41647"
"01610","31136"
"01611","64598"
"01612","102614"
"01701","88498"
"01702","52428"
"01718","135179"
"01719","103996"
"01720","119342"
"01721","102721"
"01730","114676"
"01731","79063"
"01740","144461"
"01741","157500"
"01742","132736"
"01745","117955"
"01746","108350"
"01747","99886"
"01748","128267"
"01749","74082"
"01752","71424"
"01754","79252"
"01756","112104"
"01757","68784"
"01760","99172"
"01770","155564"
"01772","155952"
"01773","143897"
"01775","131500"
"01776","169505"
"01778","141083"
"01801","79034"
"01803","95465"
"01810","125321"
"01821","91605"
"01824","103411"
"01826","76879"
"01827","116125"
"01830","55237"
"01832","60351"
"01833","106898"
"01834","92898"
"01835","74156"
"01840","18140"
"01841","32367"
"01843","43920"
"01844","68587"
"01845","100544"
"01850","51556"
"01851","52031"
"01852","48690"
"01854","42948"
"01860","80508"
"01862","98305"
"01863","74695"
"01864","112419"
"01867","104472"
"01876","88794"
"01879","93108"
"01880","85694"
"01886","125143"
"01887","100536"
"01890","141829"
"01901","22614"
"01902","37786"
"01904","81258"
"01905","47694"
"01906","76141"
"01907","96510"
"01908","65083"
"01913","76463"
"01915","73980"
"01921","127813"
"01922","111806"
"01923","77404"
"01929","89185"
"01930","60229"
"01937","-"
"01938","77901"
"01940","109099"
"01944","89313"
"01945","100709"
"01949","105646"
"01950","83149"
"01951","90969"
"01952","75995"
"01960","62137"
"01966","70288"
"01969","85994"
"01970","58937"
"01982","108558"
"01983","121157"
"01984","116875"
"01985","122969"
"02019","87417"
"02021","90878"
"02025","117679"
"02026","85558"
"02030","176250"
"02032","81513"
"02035","94538"
"02038","101980"
"02043","103350"
"02045","77440"
"02047","-"
"02048","93082"
"02050","88750"
"02052","143641"
"02053","109841"
"02054","96773"
"02056","143682"
"02061","110671"
"02062","79963"
"02066","104275"
"02067","126773"
"02071","121635"
"02072","74688"
"02081","90470"
"02090","128813"
"02093","99302"
"02108","99187"
"02109","104393"
"02110","115208"
"02111","50783"
"02113","69398"
"02114","86601"
"02115","27456"
"02116","93605"
"02118","62208"
"02119","27159"
"02120","32828"
"02121","26530"
"02122","53576"
"02124","47297"
"02125","45581"
"02126","44792"
"02127","72472"
"02128","50336"
"02129","87387"
"02130","78204"
"02131","63876"
"02132","86233"
"02134","38507"
"02135","46858"
"02136","61101"
"02138","78534"
"02139","73819"
"02140","75658"
"02141","66701"
"02142","104014"
"02143","67461"
"02144","79435"
"02145","55774"
"02148","55407"
"02149","51133"
"02150","48775"
"02151","50881"
"02152","64169"
"02155","77945"
"02163","48646"
"02169","60775"
"02170","63201"
"02171","72638"
"02176","86409"
"02180","76218"
"02184","87500"
"02186","113087"
"02188","70414"
"02189","60537"
"02190","77471"
"02191","67015"
"02199","110284"
"02203","-"
"02210","113622"
"02215","36719"
"02301","43694"
"02302","60171"
"02322","78750"
"02324","88481"
"02330","72804"
"02332","120253"
"02333","88534"
"02338","69917"
"02339","98750"
"02341","93771"
"02343","62909"
"02346","75727"
"02347","82418"
"02351","81500"
"02356","106989"
"02357","-"
"02359","89954"
"02360","76925"
"02364","86339"
"02366","-"
"02367","94505"
"02368","63325"
"02370","66860"
"02375","86695"
"02379","81573"
"02382","76494"
"02420","137109"
"02421","138202"
"02445","95895"
"02446","79289"
"02451","81182"
"02452","74289"
"02453","67721"
"02457","-"
"02458","91672"
"02459","135685"
"02460","103800"
"02461","131125"
"02462","83500"
"02464","87428"
"02465","131853"
"02466","105106"
"02467","113146"
"02468","203009"
"02472","86522"
"02474","89466"
"02476","97647"
"02478","106172"
"02481","177083"
"02482","139811"
"02492","138734"
"02493","201200"
"02494","112115"
"02532","61325"
"02534","72069"
"02535","66875"
"02536","62924"
"02537","81892"
"02538","58814"
"02539","56911"
"02540","61417"
"02542","45970"
"02543","63828"
"02553","42341"
"02554","86766"
"02556","90399"
"02557","80225"
"02558","43900"
"02559","67759"
"02561","88242"
"02562","66579"
"02563","82238"
"02564","83583"
"02568","42727"
"02571","57750"
"02575","73843"
"02576","81120"
"02584","-"
"02601","40385"
"02630","61713"
"02631","66389"
"02632","64286"
"02633","59545"
"02635","68990"
"02637","-"
"02638","60625"
"02639","40142"
"02641","132697"
"02642","62091"
"02643","-"
"02644","92054"
"02645","69115"
"02646","70096"
"02647","124659"
"02648","71067"
"02649","65768"
"02650","68446"
"02651","-"
"02652","47039"
"02653","58015"
"02655","68965"
"02657","41250"
"02659","50897"
"02660","51631"
"02663","46429"
"02664","50561"
"02666","61408"
"02667","45547"
"02668","87303"
"02669","103693"
"02670","56000"
"02671","42974"
"02672","-"
"02673","57094"
"02675","66064"
"02702","87740"
"02703","65141"
"02713","32500"
"02715","88631"
"02717","87880"
"02718","86023"
"02719","60445"
"02720","41576"
"02721","30743"
"02723","31255"
"02724","27737"
"02725","61875"
"02726","75657"
"02738","76607"
"02739","78216"
"02740","35174"
"02743","69180"
"02744","29663"
"02745","49640"
"02746","25872"
"02747","71674"
"02748","64808"
"02760","81259"
"02762","78516"
"02763","107083"
"02764","81067"
"02766","80806"
"02767","80019"
"02769","85691"
"02770","92656"
"02771","74242"
"02777","77434"
"02779","84423"
"02780","50307"
"02790","81334"
"02791","72198"
"02802","47826"
"02804","73393"
"02806","103937"
"02807","90526"
"02808","72526"
"02809","60988"
"02812","114803"
"02813","68904"
"02814","82532"
"02815","149583"
"02816","68351"
"02817","80987"
"02818","86144"
"02822","84142"
"02825","76962"
"02826","35385"
"02827","80125"
"02828","71853"
"02830","62076"
"02831","93869"
"02832","69700"
"02833","76544"
"02835","95833"
"02836","66154"
"02837","74698"
"02838","47500"
"02839","80625"
"02840","61680"
"02841","-"
"02842","70037"
"02852","75260"
"02857","79482"
