RTE_NUM,STOP_ID,Longitude,Latitude,ORDER,ZIP
167,29865,-122.31729400,47.66129600,1,98105
216,1084,-122.332453,47.614024,1,98101
242,77810,-122.323891,47.747568,1,98155
271,10912,-122.311992,47.659368,1,98105
312,98088,-122.325969,47.591303,1,98134
216,456,-122.334901,47.608226,2,98101
167,10911,-122.31347400,47.66127200,2,98105
271,98345,-122.309668,47.658939,2,98105
242,75305,-122.323546,47.726006,2,98125
312,619,-122.329083,47.599557,2,98104
216,624,-122.327631,47.598367,3,98104
271,10914,-122.312063,47.656425,3,98105
242,35322,-122.327401,47.702924,3,98125
159,1920,-122.341212,47.613924,1,98121
177,970,-122.338538,47.612184,1,98101
167,10912,-122.31199200,47.65936800,3,98105
312,548,-122.332911,47.606091,3,98104
271,29239,-122.312296,47.653139,4,98105
167,10914,-122.31206300,47.65642500,4,98105
242,16419,-122.320054,47.675239,4,98115
159,260,-122.342559,47.612212,2,98121
177,300,-122.338351,47.608682,2,98101
216,40140,-122.306897,47.59016,4,98144
312,1190,-122.334575,47.611096,4,98101
177,361,-122.332711,47.602515,3,98104
271,29241,-122.306791,47.650124,5,98105
167,10917,-122.31209700,47.65505100,5,98105
242,71344,-122.302725,47.644478,5,98112
216,64065,-122.232103,47.588485,5,98040
159,300,-122.338351,47.608682,3,98101
312,38567,-122.307746,47.690608,5,98115
167,29239,-122.31229600,47.65313900,6,98105
177,390,-122.329773,47.5993,4,98104
242,71343,-122.236961,47.637163,6,98039
216,67013,-122.151393,47.579486,6,98006
271,25243,-122.304175,47.644048,6,98112
159,340,-122.334528,47.604502,4,98104
312,38610,-122.301299,47.708594,6,98125
271,71351,-122.236773,47.636809,7,98039
159,390,-122.329773,47.5993,5,98104
177,99271,-122.327374,47.591928,5,98134
242,71342,-122.219114,47.640042,7,98004
167,29240,-122.31114400,47.65230100,7,98105
312,76750,-122.292271,47.728905,7,98125
177,99266,-122.327539,47.58575,6,98134
167,29241,-122.30679100,47.65012400,8,98105
242,73282,-122.143079,47.638593,8,98052
271,73009,-122.227882,47.632375,8,98039
159,53510,-122.291683,47.391721,6,98032
312,76810,-122.284664,47.748516,8,98155
242,73240,-122.143359,47.654651,9,98052
177,99263,-122.327519,47.579454,7,98134
271,73030,-122.227594,47.621034,9,98004
167,25243,-122.30417500,47.64404800,9,98112
159,58785,-122.270428,47.377974,7,98032
312,76840,-122.26181,47.758371,9,98028
167,71351,-122.23677300,47.63680900,10,98039
242,68463,-122.132373,47.650034,10,98052
159,50720,-122.263187,47.380303,8,98032
271,73040,-122.221356,47.618943,10,98004
177,99253,-122.327472,47.571798,8,98134
312,76890,-122.236243,47.756198,10,98028
159,50772,-122.253701,47.381829,9,98032
216,81684,-122.036996,47.58238,7,98075
271,73049,-122.199196,47.617419,11,98004
242,68397,-122.127075,47.644931,11,98052
167,71352,-122.21694200,47.64065700,11,98004
177,47970,-122.29713,47.359121,9,98032
312,76950,-122.211125,47.758303,11,98011
242,71370,-122.137282,47.631552,12,98052
177,80458,-122.299783,47.317773,10,98003
216,81718,-122.035457,47.591688,8,98075
159,50779,-122.253113,47.38674,10,98032
167,84280,-122.19062500,47.55728800,12,98006
271,80571,-122.185557,47.611912,12,98004
312,76222,-122.200204,47.760681,12,98011
271,70813,-122.176657,47.603595,13,98005
167,79952,-122.19901000,47.51819500,13,98056
159,80580,-122.242738,47.386705,11,98032
216,81726,-122.035458,47.609064,9,98074
177,83752,-122.30064,47.312469,11,98003
312,76305,-122.192407,47.76188,13,98011
216,81760,-122.035475,47.621978,10,98074
271,68597,-122.153424,47.601806,14,98005
159,80600,-122.233734,47.386661,12,98032
159,57453,-122.2328,47.384588,13,98032
216,81775,-122.03545,47.631919,11,98074
167,54990,-122.20224200,47.48259400,14,98057
271,68570,-122.142749,47.588617,15,98007
167,46476,-122.20878200,47.48070800,15,98057
216,81852,-122.047076,47.637869,12,98074
271,64990,-122.125881,47.572776,16,98006
159,62220,-122.224581,47.383257,14,98030
159,62230,-122.212547,47.375807,15,98030
271,65020,-122.11119,47.569982,17,98006
216,81844,-122.05657,47.644675,13,98074
167,59891,-122.21610000,47.47797100,16,98057
159,60471,-122.196822,47.37053,16,98030
271,65038,-122.088928,47.561416,18,98027
216,62337,-122.0881,47.657612,14,98052
167,59902,-122.21491700,47.47378700,17,98057
216,62341,-122.093673,47.663978,15,98052
167,59842,-122.21383700,47.47251700,18,98057
159,60477,-122.17569,47.362999,17,98030
271,64451,-122.050438,47.543779,19,98027
216,81755,-122.101065,47.673595,16,98052
159,60480,-122.165914,47.358065,18,98030
271,64554,-122.036379,47.536855,20,98027
159,60491,-122.158511,47.357983,19,98042
271,65092,-122.040129,47.529229,21,98027
159,60485,-122.148343,47.35801,20,98042
159,62288,-122.137733,47.357993,21,98042
159,62294,-122.123865,47.358073,22,98042
159,62100,-122.086038,47.358542,23,98042
159,62118,-122.102307,47.368452,24,98042
159,62136,-122.122868,47.361677,25,98042
