ROUTE,RTE_NUM,RTE_PART,SVC_TYPE,Shape_len,routes_ID,Latitude,Longitude
"629","629","","",149168.16151599999,"0",47.6129,-121.8873
"10","10","","",25786.86270150000,"1",47.6126,-122.3284
"545EX","545","","EX",195417.72850099998,"2",47.6398,-122.2201
"245","245","","",97830.86743049999,"3",47.6228,-122.1598
"330","330","","",32975.82770360001,"4",47.7367,-122.3213
"975","975","","",50678.94695960002,"5",47.5611,-122.4205
"167","167","","",205955.72978699999,"6",47.5772,-122.2162
"179","179","","",267974.59554000001,"7",47.4629,-122.2990
"984EX","984","","EX",70696.91242730001,"8",47.6584,-122.3132
"989EX","989","","EX",233039.93594099997,"9",47.6222,-122.2674
"73EX","73","","EX",81665.18416360000,"10",47.6480,-122.3226
"346AT","346","","AT",21132.46875450000,"11",47.7098,-122.3337
"118","118","","",21891.20808750000,"12",47.5136,-122.4501
"858","858","","",212608.28448799998,"13",47.6272,-122.2643
"237","237","","",131224.90027600000,"14",47.7014,-122.1821
"688","688","","",534.21816280800,"15",47.5844,-122.2986
"346","346","","",41218.99854770002,"16",47.7311,-122.3350
"973","973","","",16447.49224750000,"17",47.5954,-122.3591
"631","631","","",20254.78820330000,"18",47.4628,-122.3441
"672","672","","",65391.23872050002,"19",47.6457,-122.1472
"99","99","","",14986.89943240000,"20",47.6061,-122.3380
"10AS","10","","AS",6212.88268291000,"21",47.6271,-122.3125
"43AS","43","","AS",31719.29746110000,"22",47.6335,-122.3102
"599","599","","",199385.37049199999,"23",47.5190,-122.2917
"5EE","5","","EE",44411.80792350000,"24",47.6375,-122.3443
"22","22","","",49301.94793910002,"25",47.5227,-122.3788
"96","96","","",13955.32930840000,"26",47.6042,-122.3214
"98","98","","",9775.93934013000,"27",47.6230,-122.3370
"44","44","","",31541.89763460000,"28",47.6615,-122.3434
"1","1","","",32919.75068080002,"29",47.6184,-122.3492
"116EX","116","","EX",69738.02127840000,"30",47.5731,-122.3553
"255","255","","",178978.76899700001,"31",47.6543,-122.2593
"12","12","","",18505.76598090000,"32",47.6133,-122.3208
"257","257","","",203838.12357000000,"33",47.6645,-122.2367
"106AS","106","","AS",40648.17211340002,"34",47.5066,-122.2566
"301EX","301","","EX",128778.48677600001,"35",47.7046,-122.3340
"70","70","","",40022.42990610001,"36",47.6335,-122.3259
"84AO","84","","AO",50141.91109260001,"37",47.6099,-122.3134
"981EX","981","","EX",140415.01793300000,"38",47.6313,-122.2708
"915","915","","",79598.19478970001,"39",47.2523,-122.1209
"33","33","","",49546.21122290002,"40",47.6376,-122.3789
"143EE","143","","EE",224353.05716400000,"41",47.4926,-122.2027
"212","212","","",122057.17868899999,"42",47.5889,-122.2473
